"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","23-FEB-26","22-FEB-26","05:03:00Z","ROCKY JUNCTION","ARIZONA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, ROCKY JUNCTION, AZ.","INCIDENT","SCOTTSDALE FSDO","N12984","","","CESSNA","177","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","20-FEB-26","17:15:00Z","EUREKA","CALIFORNIA","UNITED STATES","AIRCRAFT NOSED OVER ON LANDING, EUREKA, CA.","ACCIDENT","OAKLAND FSDO","N72904","","","CESSNA","120","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","20-FEB-26","22:32:00Z","OLATHE","KANSAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, OLATHE, KS.","INCIDENT","KANSAS CITY FSDO","N151DK","","","SONEX","ONEX","No","NONE","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","22-FEB-26","20:40:00Z","BRUNSWICK","GEORGIA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED AFTER LANDING, BRUNSWICK, GA.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N191JK","","","BEECH","A36","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","21-FEB-26","22:03:00Z","LOUISVILLE","KENTUCKY","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING, LOUISVILLE, KY.","ACCIDENT","LOUISVILLE FSDO","N86SV","","","PORTO AVIATION","RISEN SV","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","22-FEB-26","21:25:00Z","EVERGREEN","ALABAMA","UNITED STATES","AIRCRAFT CRASHED INTO A RESIDENCE UNDER UNKNOWN CIRCUMSTANCES, EVERGREEN, AL.","ACCIDENT","ALABAMA AND NW FLORIDA FSDO","N237SH","","AIR METHODS","AIRBUS HELICOPTERS","EC-130","No","UNKNOWN","AMBULANCE","EN ROUTE (ENR)","135","SERIOUS","No","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","21-FEB-26","17:30:00Z","GOLDEN","MISSOURI","UNITED STATES","AIRCRAFT WENT OFF THE END OF THE RUNWAY DURING LANDING AND THROUGH A FENCE, GOLDEN, MO.","ACCIDENT","KANSAS CITY FSDO","N7276V","","","CESSNA","182","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","21-FEB-26","19:14:00Z","CAMPBELLSVILLE","KENTUCKY","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED SHORT OF THE RUNWAY IN A FIELD, CAMPBELLSVILLE, KY.","INCIDENT","LOUISVILLE FSDO","N245NH","","","DIAMOND","DA20","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","21-FEB-26","20:15:00Z","EL PASO","TEXAS","UNITED STATES","PILOT INITIATED A GO-AROUND DUE TO THE NOSE WHEEL FAIRING DETACHING DURING TOUCHDOWN AND THEN LANDED, EL PASO, TX.","INCIDENT","ALBUQUERQUE FSDO","N281BW","","","VANS","RV7","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-FEB-26","22-FEB-26","20:45:00Z","FORT LAUDERDALE","FLORIDA","UNITED STATES","AIRCRAFT BOARDING PASSENGERS, THE JETBRIDGE LEVELER MALFUNCTIONED CAUSING THE JETBRIDGE TO STRIKE THE AIRCRAFT DOOR, FORT LAUDERDALE, FL.","INCIDENT","SOUTH FORIDA FSDO","N346DN","DAL1341","DELTA AIRLINES","AIRBUS","A321","No","UNKNOWN","COMMERCIAL","STANDING (STD)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
