"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","08-SEP-25","05-SEP-25","12:23:00Z","ENGLEWOOD","COLORADO","UNITED STATES","AIRCRAFT CRASHED WHILE DOING PATTERN WORK, ENGLEWOOD, CO.","ACCIDENT","DNEVER FSDO","N463T","","","BEECH","P35","No","FIRE","INSTRUCTION","APPROACH (APR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","08-SEP-25","06-SEP-25","13:20:00Z","MOOSEHEAD","MAINE","UNITED STATES","AIRCRAFT CRASHED ON MOOSHEAD LAKE UNDER UNKNOWN CIRCUMSTANCES, MOOSEHEAD, ME.","ACCIDENT","PORTLAND ME FSDO","N402E","","","GRUMMAN","G44A","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","06-SEP-25","23:55:00Z","SANTA TERESA","NEW MEXICO","UNITED STATES","AIRCRAFT CRASHED ON TAKEOFF DUE TO UNKNOWN CIRCUMSTANCES, SANTA TERESA, NM.","ACCIDENT","ALBUQUERQUE FSDO","N4085P","","","PIPER","PA-23-160","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","06-SEP-25","21:31:00Z","MINNEAPOLIS","MINNESOTA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, MINNEAPOLIS, MN.","ACCIDENT","Minneapolis FSDO","N6633L","","","ROBINSON","R66","No","FIRE","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","08-SEP-25","05-SEP-25","23:42:00Z","HARRISBURG","PENNSYLVANIA","UNITED STATES","AIRCRAFT STRUCK A BIRD WHILE ON APPROACH DAMAGING THE FUSELAGE AND ANTENNA, HARRISBURG, PA.","INCIDENT","HARRISBURG FSDO","N557GJ","GJS4590","GOJET","BOMBARDIER","CL-600-2C11","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","2","0","0","0","0","1","0","0","0","0","40","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","06-SEP-25","20:45:00Z","RIDGELAND","SOUTH CAROLINA","UNITED STATES","AIRCRAFT CRASHED ON THE APPROACH END OF THE RUNWAY FOR UNKNOWN REASONS, RIDGELAND, SC.","INCIDENT","COLUMBIA FSDO","N231LS","","","LET","L-23 SUPER BLANIK","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","05-SEP-25","17:00:00Z","MOUNT PLEASANT","SOUTH CAROLINA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY, MOUNT PLEASANT, SC.","INCIDENT","COLUMBIA FSDO","N382RB","","","ERACER","ERACER MK2","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","28-AUG-25","17:55:00Z","MADISON","WISCONSIN","UNITED STATES","AIRCRAFT STRUCK ANOTHER AIRCRAFT WHILE TAXIING TO THE RAMP, MADISON, WI.","INCIDENT","Milwaukee FSDO","N456SW","","","GULFSTREAM AEROSPACE","GVII-G500","No","MINOR","PERSONAL","TAXI (TXI)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","06-SEP-25","19:10:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRT LANDED GEAR UP, DALLAS, TX.","INCIDENT","North Texas FSDO","N560RT","","","CESSNA","560","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-25","06-SEP-25","15:30:00Z","SALIDA","COLORADO","UNITED STATES","AIRCRAFT STRUCK A WOODEN BARRIER WHILE TAXIING, SALIDA, CO.","INCIDENT","Denver FSDO","N976BB","","","VANS","RV7","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
