"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","14-JAN-26","13-JAN-26","19:20:00Z","TELLURIDE","COLORADO","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING, TELLURIDE, CO.","ACCIDENT","SALT LAKE CITY FSDO","N772XJ","TCN772","","CESSNA","750","No","SUBSTANTIAL","ON DEMAND","LANDING (LDG)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","14-JAN-26","13-JAN-26","21:00:00Z","MOBILE","ALABAMA","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS SOUTH OF THE AIRPORT, MOBILE, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N3722T","","","SLED THOMAS","HELICYCLE","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-JAN-26","13-JAN-26","20:32:00Z","OCOEE","TENNESSEE","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A FIELD, OCOEE, TN.","INCIDENT","NASHVILLE FSDO","N34959","","","CESSNA","177","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-JAN-26","13-JAN-26","16:35:00Z","SAVANNAH","GEORGIA","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, SAVANNAH, GA.","INCIDENT","ATLANTA FSDO","N58GL","","","RAYTHEON","G58","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-JAN-26","13-JAN-26","17:50:00Z","TULSA","OKLAHOMA","UNITED STATES","AIRCRAFT LANDED GEAR UP, TULSA, OK.","INCIDENT","WILL ROGERS FSDO","N92HW","","","MOONEY","M20S","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-JAN-26","13-JAN-26","12:45:00Z","PRESCOTT","ARIZONA","UNITED STATES","AIRCRAFT ON DEPARTURE, VEERED OFF THE RUNWAY THEN MANEUVERED BACK ONTO RUNWAY WHERE IT BECAME DISABLED, PRESCOTT, AZ.","INCIDENT","SCOTTSDALE FSDO","N370AE","AMF4133","AMERIFLIGHT","FAIRCHILD","SA227-AC","No","UNKNOWN","CARGO","TAKEOFF (TOF)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-JAN-26","13-JAN-26","18:35:00Z","PALM SPRINGS","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED, VEERED OFF TAXIWAY AND STRUCK AN AIRPORT SIGN, PALM SPRINGS, CA.","INCIDENT","RIVERSIDE FSDO","N44ED","","","VANS","RV4","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-JAN-26","06-JAN-26","01:23:00Z","TETERBORO","NEW JERSEY","UNITED STATES","AIRCRAFT BLEW FOUR TIRES WHILE LANDING AND TAXIED TO TAXIWAY WHERE PASSENGERS DEPLANED AND BUSSED TO THE TERMINAL, TETERBORO, NJ.","INCIDENT","TETERBORO FSDO","N244JX","JSX1121","DELUX PUBLIC CHARTER","EMBRAER","EMB-145LR","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0"
"Yes","07-JAN-26","05-JAN-26","20:30:00Z","GRAYSLAKE","ILLINOIS","UNITED STATES","AIRCRAFT DEPARTED AND IMPACTED TREES, GRAYSLAKE, IL.","ACCIDENT","GREATER CHICAGO FSDO","N101FA","","","CESSNA","150","No","SUBSTANTIAL","INSTRUCTION","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Yes","07-JAN-26","07-JAN-26","00:55:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A RUNWAY LIGHT WHILE EXITING THE RUNWAY, ORLANDO, FL.","INCIDENT","ORLANDO FSDO","N126ML","","","PIPER","PA44","No","UNKNOWN","INSTRUCTION","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
