"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","15-APR-26","14-APR-26","20:40:00Z","PAGE","ARIZONA","UNITED STATES","AIRCRAFT LANDED, VEERED OFF RUNWAY AND SCRAPED THE RIGHT WING, PAGE, AZ.","INCIDENT","LAS VEGAS FSDO","N74GC","CVU74","GRAND CANYON AIRLINES","DEHAVILLAND","DHC-6-300","No","MINOR","SIGHT SEEING","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-APR-26","14-APR-26","14:07:00Z","CHANTILLY","VIRGINIA","UNITED STATES","AIRCRAFT TAXIING TO PARKING AND THE RIGHT WINGLET STRUCK THE RIGHT LEADING EDGE OF PARKED AND UNOCCUPIED N356VJ, CHANTILLY, VA.","INCIDENT","WASHINGTON FSDO","N310JE","","","BOMBARDIER","BD-100-1A10","No","UNKNOWN","ON DEMAND","TAXI (TXI)","135","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-APR-26","14-APR-26","23:05:00Z","OCALA","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS FOR UNKNOWN REASONS, OCALA, FL.","INCIDENT","ORLANDO FSDO","N922BL","","","BRM AERO","BRISTELL","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-APR-26","14-APR-26","23:35:00Z","HARRISBURG","PENNSYLVANIA","UNITED STATES","AIRCRAFT STRUCK BIRDS ON LANDING AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE RADOME, HARRISBURG, PA.","INCIDENT","HARRISBURG FSDO","N651AE","PDT5797","AMERICAN AIRLINES","EMBRAER","EMB-145LR","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","15:10:00Z","MANASSAS","VIRGINIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, MANASSAS, VA.","INCIDENT","WASHINGTON FSDO","N796WM","","","NORTH AMERICAN","AT-6D","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-APR-26","14-APR-26","10:45:00Z","COLORADO SPRINGS","COLORADO","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN A FIELD DUE TO ENGINE ISSUES, COLORADO SPRINGS, CO.","ACCIDENT","DENVER FSDO","N495LP","","","PIPISTREL","ALPHA TRAINER","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-APR-26","13-APR-26","06:50:00Z","ST PAUL","MINNESOTA","UNITED STATES","AIRCRAFT CRASH LANDED, ST PAUL, MN.","INCIDENT","MINNEAPOLIS FSDO","N124SP","","","CIRRUS","SR22","No","UNKNOWN","PUBLIC USE","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-APR-26","10-APR-26","14:00:00Z","SPRING HILL","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED AN ENGINE FIRE AND MADE A PRECAUTIONARY LANDING IN A QUARRY, SPRING HILL, FL.","INCIDENT","TAMPA FSDO","N402TL","","","BELL","412","No","UNKNOWN","PUBLIC USE","EN ROUTE (ENR)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-APR-26","11-APR-26","02:52:00Z","FARGO","NORTH DAKOTA","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE RADOME, FARGO, ND.","INCIDENT","FARGO FSDO","N472UA","UAL1126","UNITED AIRLINES","AIRBUS","A320","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-APR-26","11-APR-26","13:12:00Z","GARDEN KEY","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A SAND BAR AND NOSED OVER, GARDEN KEY, FL.","INCIDENT","SOUTH FLORIDA FSDO","N708KA","","","DEHAVILLAND","DHC-3","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
