"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","12-NOV-21","10-NOV-21","21:15:00Z","OAK HILL","FLORIDA","UNITED STATES","AIRCRAFT CRASHED INTO TREES UNDER UNKNOWN  CIRCUMSTANCES, OAK HILL, FL.","ACCIDENT","ORLANDO FSDO","N22XF","","","ZENITH","CH601 ZODIAC","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-NOV-21","11-NOV-21","17:30:00Z","HAMPTON TOWNSHIP","NEW JERSEY","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A HEAVILY WOODED AREA, HAMPTON TOWNSHIP, NJ.","ACCIDENT","PHILADELPHIA FSDO","N90559","","","CESSNA","172","No","DESTROYED","INSTRUCTION","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","12-NOV-21","10-NOV-21","19:50:00Z","FORT DAVIS","TEXAS","UNITED STATES","AIRCRAFT LOST LIFT DUE TO DENSITY ALTITUDE AND CRASHED TO THE GROUND AND ROLLED, FORT DAVIS, TX.","ACCIDENT","LUBBOCK FSDO","N3027W","","","ROBINSON","R44","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"No","12-NOV-21","10-NOV-21","20:30:00Z","FREER","TEXAS","UNITED STATES","AIRCRAFT WAS CONDUCTING DEER CATCHING WITH NET GUN AND TURNED DOWNWIND, REDUCED POWER AND STRUCK THE GROUND, FREER, TX.","INCIDENT","SAN ANTONIO FSDO","N7198A","","","ROBINSON","R22","No","UNKNOWN","OTHER","MANEUVERING (MNV)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-NOV-21","11-NOV-21","15:55:00Z","FORT WORTH","TEXAS","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS AND GEAR COLLAPSED, FORT WORTH, TX.","INCIDENT","NORTH TEXAS FSDO","N47615","","","PIPER","PA28","No","MINOR","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-NOV-21","11-NOV-21","21:45:00Z","WALLACE","NORTH CAROLINA","UNITED STATES","AIRCRAFT ON LANDING EXPERIENCED A GUST OF WIND, VEERED OFF RUNWAY AND ENDED UP IN A DITCH, WALLACE, NC.","INCIDENT","GREENSBORO FSDO","N8924L","","","TEXAS SPORT","TX-11C","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-NOV-21","11-NOV-21","01:50:00Z","PALMER","ALASKA","UNITED STATES","AIRCRAFT ON LANDING INCURRED A PROP STRIKE, PALMER, AK.","INCIDENT","ANCHORAGE FSDO","N4221Z","","","PIPER","PA18","No","MINOR","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Yes","12-NOV-21","10-NOV-21","23:45:00Z","FORT LAUDERDALE","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND EXPERIENCED STEERING ISSUES AND STRUCK A SIGN, FORT LAUDERDALE, FL.","ACCIDENT","SOUTH FLORIDA FSDO","N749L","","","SWEARINGEN","SA-226T","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-NOV-21","11-NOV-21","17:32:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT TAXIING AND VEERED OFF TAXIWAY INTO THE GRASS, REAR WHEEL SUNK INTO THE GROUND AND INCURRED A PROP STRIKE, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N450MW","","","PIPER","PA42","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-NOV-21","10-NOV-21","21:43:00Z","INDIAN HEAD","MARYLAND","UNITED STATES","AIRCRAFT LANDED GEAR UP, INDIAN HEAD, MD.","INCIDENT","WASHINGTON FSDO","N7856V","","","MOONEY","M20C","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
