"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","05-MAY-25","04-MAY-25","00:30:00Z","HICKORY VALLEY","TENNESSEE","UNITED STATES","AIRCRAFT LANDED SHORT OF THE RUNWAY AND THE RIGHT GEAR COLLAPSED, HICKORY VALLEY, TN.","INCIDENT","NASHVILLE FSDO","N66KA","","","BEECH","C90","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-25","09-MAY-25","17:00:00Z","GRAIN VALLEY","MISSOURI","UNITED STATES","AIRCRAFT CRASHED INTO TREES, GRAIN VALLEY, MO.","INCIDENT","KANSAS CITY FSDO","N293GM","","","ROBINSON","R44","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","13-MAY-25","12-MAY-25","16:09:00Z","WILLISTON","VERMONT","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, WILLISTON, VT.","INCIDENT","PORTLAND ME FSDO","N371PA","","","HELICOPTERS GUIMBAL","CABRI G2","No","NONE","INSTRUCTION","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-25","12-MAY-25","16:45:00Z","DANBURY","CONNECTICUT","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, DANBURY, CT.","INCIDENT","BRADLEY FSDO","N574BA","","","ICON AIRCRAFT","A5","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-MAY-25","09-MAY-25","16:26:00Z","EVANSTON","WYOMING","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED INTO TERRAIN, EVANSTON, WY.","ACCIDENT","DENVER FSDO","N128EL","","","JUST AIRCRAFT","JA30 SUPERSTOL","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","12-MAY-25","10-MAY-25","21:45:00Z","ENUMCLAW","WASHINGTON","UNITED STATES","AIRCRAFT LOST POWER WHILE TOWING A GLIDER, RELEASED GLIDER AND MADE AN EMERGENCY LANDING IN A FIELD WHERE LEFT WING STRUCK A FENCE AND GROUND LOOPED, ENUMCLAW, WA.","ACCIDENT","SEATTLE FSDO","N333TM","","","PIPER","PA18","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-MAY-25","10-MAY-25","16:40:00Z","ST JAMES","MINNESOTA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY DAMAGING LEFT WING, ST JAMES, MN.","ACCIDENT","MINNEAPOLIS FSDO","N453MK","","","PIPER","PA44","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-MAY-25","09-MAY-25","15:30:00Z","BUTTE CITY","CALIFORNIA","UNITED STATES","AIRCRAFT LANDING ON A DIRT STRIP AND FLIPPED OVER, BUTTE CITY, CA.","ACCIDENT","SACRAMENTO FSDO","N7503L","","","SCHWEIZER","G-164B","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-MAY-25","09-MAY-25","14:49:00Z","BIG CREEK","IDAHO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN MOUNTAINOUS TERRIAN, BIG CREEK ID.","ACCIDENT","BOISE FSDO","N342H","","","AMERICAN CHAMPION","7GCBC","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-MAY-25","10-MAY-25","11:28:00Z","YULEE","FLORIDA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES INTO A RESIDENTIAL AREA AND POST CRASH FIRE, YULEE, FL.","ACCIDENT","ORLANDO FSDO","N30689","","","PIPER","PA32RT","No","SUBSTANTIAL","PERSONAL","INITIAL CLIMB (ICL)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
