"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","03-JAN-22","01-JAN-22","18:30:00Z","GOODLAND","KANSAS","UNITED STATES","AIRCRAFT LANDED WITH NOSE GEAR PARTIALLY EXTENDED, GOODLAND, KS.","INCIDENT","WICHITA FSDO","N227UH","","","ECLIPSE","EA500","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","02-JAN-22","17:16:00Z","SCOTTSDALE","ARIZONA","UNITED STATES","AIRCRAFT ON LANDING VEERED TO THE RIGHT AND OVER CORRECTED GOING OFF THE RUNWAY INTO THE ROCKS, SCOTTSDALE, AZ.","INCIDENT","SCOTTSDALE FSDO","N619TK","","","PIPER","PA46","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","02-JAN-22","21:00:00Z","COLORADO SPRINGS","COLORADO","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING, COLORADO SPRINGS, CO.","INCIDENT","DENVER FSDO","N739CL","","","CESSNA","182","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","02-JAN-22","17:40:00Z","MONTROSE","COLORADO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, MONTROSE, CO.","INCIDENT","SALT L AKE CITY FSDO","N750DP","","","ZENITH","CH750","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","31-DEC-21","23:52:00Z","AURORA","OREGON","UNITED STATES","AIRCRAFT LANDED IN A FIELD FOR UNKNOWN REASONS, AURORA, OR.","INCIDENT","PORTLAND FSDO","N922DD","","","ROBINSON","R22","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","01-JAN-22","22:51:00Z","SAN ANTONIO","TEXAS","UNITED STATES","AIRCRAFT READY FOR TAXI, HIT A POST AND WENT INTO THE AIRPORT TERMINAL, SAN ANTONIO, TX.","INCIDENT","SAN ANTONIO FSDO","N2097D","","","BEECH","D35","No","MINOR","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","02-JAN-22","22:02:00Z","GRAND FORKS","NORTH DAKOTA","UNITED STATES","AIRCRAFT LANDED GEAR UP, GRAND FORKS, ND.","INCIDENT","FARGO FSDO","N5844P","","","PIPER","PA24","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","01-JAN-22","18:20:00Z","PORT ARANSAS","TEXAS","UNITED STATES","AIRCRAFT FINISHED PARACHUTE OPERATIONS, WAS ON APPROACH AND LANDED SHORT OF THE RUNWAY IN THE MARSH, PORT ARANSAS, TX.","INCIDENT","SAN ANTONIO FSDO","N8816T","","","CESSNA","182","No","UNKNOWN","SKYDIVING","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-JAN-22","01-JAN-22","17:11:00Z","ARCADIA","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN AN ORANGE ORCHARD, ARCADIA, FL.","INCIDENT","TAMPA FSDO","N79396","","","MOONEY","M20C","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","03-JAN-22","31-DEC-21","22:00:00Z","MOJAVE","CALIFORNIA","UNITED STATES","AIRCRAFT TAXIING FOR DEPARTURE ENCOUNTERED WIND GUST AND FLIPPED OVER, MOJAVE, CA.","ACCIDENT","VAN NUYS FSDO","N89084","","","CESSNA","152","No","SUBSTANTIAL","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
