"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","10-JAN-25","08-JAN-25","15:50:00Z","CHICAGO","ILLINOIS","UNITED STATES","AIRCRAFT TAXIING WHEN THEY STRUCK THE TAIL OF UAL219 WHICH WAS HOLDING ON THE TAXIWAY, CHICAGO, IL.","INCIDENT","GREATER CHICAGO FSDO","N988NN","AAL1979","AMERICAN AIRLINES","BOEING","737","No","UNKNOWN","COMMERCIAL","TAXI (TXI)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JAN-25","10-JAN-25","00:02:00Z","NEW YORK","NEW YORK","UNITED STATES","AIRCRAFT UNDER TOW, LEFT WING STRUCK RIGHT WING OF N912AN WHICH WAS PARKED AT THE GATE, NEW YORK, NY.","INCIDENT","NEW YORK FSDO","N962NN","","AMERICAN AIRLINES","BOEING","737","No","UNKNOWN","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","10-JAN-25","18:55:00Z","NEWBURYPORT","MASSACHUSETTS","UNITED STATES","AIRCRAFT CRASHED INTO A FENCE FOR UNKNOWN REASONS DAMAGING A WING AND LANDING GEAR, NEWBURYPORT, MA.","ACCIDENT","BOSTON FSDO","N9184Y","","","PIPER","PA28","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","10-JAN-25","21:55:00Z","FAIRBANKS","ALASKA","UNITED STATES","AIRCRAFT TAXIING FOR DEPARTURE AND THE AUTOMATED GATE CLOSED ON THE AIRCRAFT DAMAGING RIGHT WINGLET, FAIRBANKS, AK.","ACCIDENT","FAIRBANKS FSDO","N59826","","","PIPER","PA31","No","SUBSTANTIAL","ON DEMAND","TAXI (TXI)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","10-JAN-25","18:01:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS, ORLANDO, FL.","INCIDENT","ORLANDO FSDO","N694LH","","","PIPER","PA28","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","12-JAN-25","14:15:00Z","ORANGE","MASSACHUSETTS","UNITED STATES","AIRCRAFT LANDED GEAR UP IN THE GRASS DUE TO LANDING GEAR ISSUES, ORANGE, MA.","INCIDENT","BRADLEY FSDO","N8BZ","","","CONSOLIDATED AERONAUTICS","LAKE LA-4-200","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","10-JAN-25","21:54:00Z","FRYEBURG","MAINE","UNITED STATES","AIRCRAFT STRUCK A SNOW BANK WITH THE NOSE GEAR AND CRASHED ON THE RUNWAY, FRYEBURG, ME.","INCIDENT","PORTLAND ME FSDO","N21HJ","","","HONDA AIRCRAFT","HA-420","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","10-JAN-25","12:56:00Z","SAN JUAN","PUERTO RICO","UNITED STATES","AIRCRAFT LANDED, FRONT WHEEL FELL OFF AND INCURRED A PROP STRIKE, SAN JUAN, PR.","INCIDENT","SAN JUAN FSDO","N287UA","","","COSTRUZIONI AERONAUTICHE TECNA","P2010","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","10-JAN-25","16:11:00Z","POMPANO BEACH","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, POMPANO BEACH, FL.","INCIDENT","SOUTH FLORIDA FSDO","N555HF","","","PIPER","PA44","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","13-JAN-25","12-JAN-25","19:25:00Z","CALDWELL","NEW JERSEY","UNITED STATES","AIRCRAFT LANDED GEAR UP, CALDWELL, NJ.","INCIDENT","TETERBORO FSDO","N711AV","","","PIPER","PA44","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
