"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","13-JUN-25","12-JUN-25","23:00:00Z","LAFAYETTE","TENNESSEE","UNITED STATES","AIRCRAFT LOST OIL PRESSURE AND CRASHED INTO TREE TOPS AFTER DEPLOYING PARACHUTE, LAFAYETTE, TN.","INCIDENT","NASHVILLE FSDO","N312DA","","","CIRRUS","SR22","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","19-JUN-25","14:40:00Z","HURON","SOUTH DAKOTA","UNITED STATES","AIRCRAFT CRASHED IN A FIELD, HURON, SD.","ACCIDENT","RAPID CITY FSDO","N6174A","","","PIPER","PA36","No","DESTROYED","AERIAL APPLICATION","MANEUVERING (MNV)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","13:51:00Z","SWANZEY","NEW HAMPSHIRE","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS, SWANZEY, NH.","INCIDENT","PORTLAND ME FSDO","N62XF","","","GYRO TECHNIC","GT-VX2","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","20-JUN-25","06:00:00Z","BURBANK","CALIFORNIA","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO A BAGGAGE FIRE AND FIRE WAS EXTINGUISHED, BURBANK, CA.","INCIDENT","VAN NUYS FSDO","N149WW","","","CESSNA","525","No","MINOR","AMBULANCE","TAKEOFF (TOF)","135","NONE","No","2","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","13-JUN-25","12-JUN-25","23:05:00Z","BATON ROUGE","LOUISIANA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY, BATON ROUGE, LA.","INCIDENT","BATON ROUGE FSDO","N124HJ","","","HONDA AIRCRAFT","HA-420","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-JUN-25","12-JUN-25","15:44:00Z","MERIDIAN","MISSISSIPPI","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, MERIDIAN, MS.","INCIDENT","JACKSON FSDO","N210TY","","","CESSNA","P210","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","13-JUN-25","12-JUN-25","21:45:00Z","TORRANCE","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING IN HARBOR, TORRANCE, CA.","INCIDENT","LONG BEACH FSDO","N301M","","","SCODA AERONAUTICA","SUPER PETREL","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-JUN-25","12-JUN-25","17:40:00Z","LAS VEGAS","NEVADA","UNITED STATES","AIRCRAFT LANDED GEAR UP, LAS VEGAS, NV.","INCIDENT","LAS VEGAS FSDO","N62286","","","SOCATA","TB-20 TRINIDAD","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","13-JUN-25","12-JUN-25","21:43:00Z","DESTIN","FLORIDA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, DESTIN, FL.","ACCIDENT","ALABAMA AND NW FLORIDA FSDO","N633AF","","","ROBINSON HELICOPTER","R66","No","DESTROYED","PERSONAL","UNKNOWN (UNK)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","13:42:00Z","MONTROSE","COLORADO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AFTER TAKEOFF AND POST CRASH FIRE, MONTROSE, CO.","ACCIDENT","SALT LAKE CITY FSDO","N250MK","","","EXPERIMEN TAL","BEARHAWK BEAR","No","UNKNOWN","PERSONAL","INITIAL CLIMB (ICL)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","19:17:00Z","MORGAN HILL","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A FIELD, MORGAN HILL, CA.","ACCIDENT","SAN JOSE FSDO","N696WG","","","VANS","RV9","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-JUN-25","23-JUN-25","14:35:00Z","MILTON","FLORIDA","UNITED STATES","AIRCRAFT LOST POWER ON TAKEOFF AND CRASHED PAST THE DEPARTURE END OF THE RUNWAY, MILTON, FL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N262AL","","","CESSNA","R182","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
